,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
47,ГАЗ ГАЗель,ГАЗ,ГАЗель,2006,5800000,Б/у,пикап,2.9,газ-бензин,КПП механика,427104,белый,"Всем доброго времени суток, Газель..."
48,Audi 80,Audi,80,1994,1750000,Б/у,универсал,2.3,бензин,КПП механика,364850,литые диски,"тонировка, люк, панорамная кр..."
49,Toyota Camry,Toyota,Camry,2011,2250000,Б/у,седан,2.5,бензин,КПП автомат,140000,синий,"велюр, кондиционер, Ассалаумағалейкум Ма..."
52,Volkswagen Golf,Volkswagen,Golf,1996,1100000,Б/у,хэтчбек,1.8,бензин,КПП механика,999,вишня,Монитор. Центр замок. Балон зимний гур ра...
56,Toyota Land Cruiser,Toyota,Land Cruiser,2008,11000000,Б/у,внедорожник,4.7,бензин,КПП автомат,100,белый,"литые диски, ксенон, кожа, аудиосистем..."
59,Toyota RAV4,Toyota,RAV4,2018,12800000,Б/у,кроссовер,2.5,бензин,КПП автомат,110000,серый,"металлик, литые диски, люк, ксенон,..."
60,Toyota RAV4,Toyota,RAV4,2018,12800000,Б/у,кроссовер,2.5,бензин,КПП автомат,110000,серый,"металлик, литые диски, люк, ксенон,..."
63,Toyota Camry,Toyota,Camry,2023,18000000,Б/у,седан,2.5,бензин,КПП автомат,22000,черный,"металлик, литые диски, тонировка, ксенон..."
68,Toyota Land Cruiser,Toyota,Land Cruiser,2017,35000000,Б/у,внедорожник,4.6,бензин,КПП автомат,167000,черный,"металлик, люк, обвес, хрустальная..."
69,Nissan Note,Nissan,Note,2013,5500000,Б/у,хэтчбек,1.6,бензин,КПП автомат,115000,черный,"металлик, кондиционер, В отличном сос..."
71,Nissan Juke,Nissan,Juke,2013,5500000,Б/у,кроссовер,1.6,бензин,КПП вариатор,95000,черный,"металлик, литые диски, тонировка, в..."
74,Toyota Land Cruiser,Toyota,Land Cruiser,2007,16500000,Б/у,внедорожник,4.7,бензин,КПП автомат,247000,белый,"металлик, кожа, климат-контроль, И..."
76,Hyundai Sonata,Hyundai,Sonata,2018,8700000,Б/у,седан,2.4,бензин,КПП автомат,181704,синий,"металлик, литые диски, люк, панорамная к..."
77,Volkswagen Polo,Volkswagen,Polo,2018,5200000,Б/у,седан,1.6,бензин,КПП механика,149000,белый,металлик
80,Chevrolet Cobalt,Chevrolet,Cobalt,2022,5890000,Б/у,седан,1.5,бензин,КПП автомат,43000,белый,"тонировка, ветровики, дневные ходовые огн..."
81,Chevrolet Aveo,Chevrolet,Aveo,2012,3200000,Б/у,седан,1.6,бензин,КПП автомат,260000,серый,"металлик, велюр, аудиосистема, встроенны..."
82,Nissan Altima,Nissan,Altima,2004,4200000,Б/у,седан,2.5,бензин,КПП автомат,294000,белый,"металлик, литые диски, тонировка, спойле..."
83,Toyota Camry,Toyota,Camry,2000,4200000,Б/у,седан,2.2,бензин,КПП автомат,378115,черный,"металлик, обвес, дневные ходовые огни,..."
85,Volkswagen Polo,Volkswagen,Polo,2008,2000000,Б/у,хэтчбек,1.4,бензин,КПП механика,247000,черный,"металлик, литые диски, ветровики, хр..."
92,Toyota Land Cruiser,Toyota,Land Cruiser,2006,13500000,Б/у,внедорожник,4.7,бензин,КПП автомат,315000,черный,"металлик, литые диски, тонировка,..."
93,BMW 728,BMW,728,2000,3800000,Б/у,седан,2.8,бензин,КПП автомат,238000,зеленый,"металлик, тонировка, линзованная оптик..."
96,УАЗ Фермер,УАЗ,Фермер,2015,2300000,Б/у,пикап,2.7,бензин,КПП механика,100000,серебристый,"металлик, Двигатель 409 инжектор..."
97,Daewoo Nexia,Daewoo,Nexia,2012,2100000,Б/у,седан,1.5,бензин,КПП механика,289003,белый,"металлик, тонировка, багажник, дневные..."
98,Chevrolet Cruze,Chevrolet,Cruze,2013,5300000,Б/у,хэтчбек,1.8,бензин,КПП автомат,139945,серебристый,"металлик, кожа, аудиосистема, bl..."
99,Hyundai Elantra,Hyundai,Elantra,2019,8599999,Б/у,седан,1.6,бензин,КПП автомат,103000,серебристый,"литые диски, тонировка, ветровики,..."
101,Toyota Camry,Toyota,Camry,2023,14490000,Б/у,седан,2.5,бензин,КПП автомат,49000,черный,"металлик, литые диски, тонировка, спойле..."
104,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2013,1750000,Б/у,хэтчбек,1.6,бензин,КПП механика,200000,серый,"велюр, Полный шумка! Хорошая музыка!..."
105,Kia K7,Kia,K7,2020,13500000,Б/у,седан,2.5,бензин,КПП автомат,84000,синий,"металлик, кожа, климат-контроль, память с..."
108,Lexus GS 350,Lexus,GS 350,2013,13200000,Б/у,седан,3.5,бензин,КПП автомат,186000,белый,"металлик, литые диски, тонировка, спойле..."
109,ВАЗ (Lada) 2109,ВАЗ,(Lada) 2109,1994,450000,Б/у,хэтчбек,1.3,бензин,КПП механика,268896,белый,Обменяю на задний привод (кз уч). Про...
110,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2013,1250000,Б/у,хэтчбек,1.5,бензин,КПП механика,225555,бежевый,"металлик, литые диски, тонировка, б..."
112,Toyota Land Cruiser Prado,Toyota,Land Cruiser Prado,2007,11400000,Б/у,внедорожник,2.7,бензин,КПП автомат,285000,черный,"металлик, литые диски, тонировка,..."
113,ВАЗ (Lada) Priora 2172,ВАЗ,(Lada) Priora 2172,2008,1800000,Б/у,хэтчбек,1.6,бензин,КПП механика,10000,черный,"металлик, -Новый аккумулятор, -ручник..."
115,BMW 528,BMW,528,1997,4000000,Б/у,седан,2.8,бензин,КПП автомат,111111,серый,"металлик, тонировка, ксенон, противотума..."
117,Kia Rio,Kia,Rio,2013,4900000,Б/у,седан,1.6,бензин,КПП автомат,257000,велюр,"кондиционер, В хорошем состоянии Вложени..."
118,Nissan Patrol,Nissan,Patrol,2014,15500000,Б/у,внедорожник,5.6,бензин,КПП автомат,137000,белый,ЗВОНИТЬ ПОСЛЕ 12.00! В идеале! Ком...
123,Hyundai Creta,Hyundai,Creta,2018,9400000,Б/у,кроссовер,1.6,бензин,КПП автомат,95000,металлик,"тонировка, спойлер, ветровики, баг..."
124,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2013,1050000,Б/у,хэтчбек,1.5,бензин,КПП механика,111111,черный,"металлик, тонировка, ветровики, бага..."
125,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2004,1200000,Б/у,хэтчбек,1.6,бензин,КПП механика,250000,синий,"металлик, тонировка, хрустальная опти..."
128,ГАЗ 24 (Волга),ГАЗ,24 (Волга),1978,995000,Б/у,седан,2.4,бензин,КПП механика,150000,серый,"велюр, bluetooth, MP3, Газ-24 (Волга)...."
129,Hyundai Santa Fe,Hyundai,Santa Fe,2023,20700000,Б/у,кроссовер,3.5,бензин,КПП автомат,9200,черный,"металлик, литые диски, тонировка, люк..."
131,BMW i8,BMW,i8,2015,59000000,Б/у,купе,1.5,гибрид,КПП автомат,5000,металлик,"литые диски, спойлер, обвес, ксенон, кож..."
134,Daewoo Nexia,Daewoo,Nexia,2011,1600000,Б/у,седан,1.6,бензин,КПП механика,200000,белый,"металлик, ветровики, кожа, CD, MP3, USB..."
141,Toyota Camry,Toyota,Camry,2019,14500000,Б/у,седан,2.5,бензин,КПП автомат,95000,черный,"кожа, климат-контроль, Машина вложений н..."
143,Ford Focus,Ford,Focus,2011,2000000,Б/у,седан,1.6,бензин,КПП механика,215000,серебристый,"металлик, Технически в хорошем со..."
144,Subaru Outback,Subaru,Outback,2014,5400000,Б/у,универсал,2.5,бензин,КПП вариатор,218824,серебристый,"металлик, литые диски, люк, р..."
145,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2013,1850000,Б/у,хэтчбек,1.6,бензин,КПП механика,175000,серебристый,"металлик, тонировка, хрустальна..."
147,Toyota Camry,Toyota,Camry,2014,6500000,Б/у,седан,2.5,бензин,КПП автомат,157700,серый,"металлик, тонировка, биксенон, хрустальн..."
150,Hyundai Elantra,Hyundai,Elantra,2013,5900000,Б/у,седан,1.6,бензин,КПП автомат,187000,коричневый,"металлик, литые диски, тонировка, в..."
151,Hyundai Starex,Hyundai,Starex,2009,6200000,Б/у,минивэн,2.5,дизель,КПП автомат,40000,серебристый,"металлик, литые диски, тонировка,..."
152,Toyota Camry,Toyota,Camry,2021,17000000,Б/у,седан,2.5,бензин,КПП автомат,49872,белый,"кожа, климат-контроль, Камри 75. GR Sport..."
158,Toyota Camry,Toyota,Camry,2013,10000000,Б/у,седан,2.5,бензин,КПП автомат,205000,черный,"металлик, литые диски, тонировка, спойл..."
159,Daewoo Nexia,Daewoo,Nexia,2011,1800000,Б/у,седан,1.6,бензин,КПП механика,350000,белый,"металлик, литые диски, тонировка, ветро..."
160,Hyundai Tucson,Hyundai,Tucson,2023,15500000,Б/у,кроссовер,2.5,бензин,КПП автомат,10200,литые диски,"тонировка, ветровики, багажник,..."
161,Mercedes-Benz E 320,Mercedes-Benz,E 320,2000,5000000,Б/у,седан,3.2,бензин,КПП автомат,165000,черный,"металлик, тонировка, люк, обвес, кожа,..."
162,BMW 540,BMW,540,2001,6800000,Б/у,седан,4.4,бензин,КПП автомат,207000,серый,"металлик, литые диски, люк, ветровики, б..."
166,Audi 100,Audi,100,1990,3000000,Б/у,универсал,2.3,бензин,КПП механика,380000,черный,"металлик, рейлинги, фаркоп, дневны..."
171,Infiniti QX80,Infiniti,QX80,2021,35000000,Б/у,внедорожник,5.6,бензин,КПП автомат,50000,серый,"металлик, литые диски, тонировка, л..."
173,Hyundai Sonata,Hyundai,Sonata,2015,4000000,Б/у,седан,2.4,бензин,КПП автомат,286777,черный,"велюр, климат-контроль, Машина без влож..."
176,Infiniti G35,Infiniti,G35,2005,4500000,Б/у,седан,3.5,бензин,КПП автомат,220000,коричневый,"металлик, литые диски, тонировка, л..."
182,Toyota Land Cruiser,Toyota,Land Cruiser,2016,28000000,Б/у,внедорожник,4.6,бензин,КПП автомат,210000,черный,"металлик, литые диски, тонировка,..."
184,BMW 325,BMW,325,2000,5000000,Б/у,седан,2.5,бензин,КПП автомат,220000,металлик,"литые диски, тонировка, обвес, ветров..."
186,Hyundai Accent,Hyundai,Accent,2012,4700000,Б/у,седан,1.6,бензин,КПП автомат,266000,серый,"металлик, литые диски, тонировка, хруста..."
192,Ford F-Series,Ford,F-Series,2001,15000000,Б/у,пикап,5.4,бензин,КПП автомат,160800,зеленый,"ГУР, ABS, турбонаддув, сигнализация, а..."
195,ВАЗ (Lada) 2110,ВАЗ,(Lada) 2110,2006,1700000,Б/у,седан,1.6,бензин,КПП механика,189000,серебристый,"металлик, литые диски, тонировка,..."
196,Subaru Outback,Subaru,Outback,2009,5000000,Б/у,универсал,2.5,бензин,КПП автомат,200000,серый,"металлик, обвес, ветровики, хрусталь..."
197,Toyota Camry,Toyota,Camry,2003,6500000,Б/у,седан,2.4,бензин,КПП автомат,296600,бордовый,"металлик, литые диски, тонировка, вет..."
198,Mercedes-Benz GLE Coupe 400,Mercedes-Benz,GLE Coupe 400,2021,41000000,Б/у,кроссовер,2.9,дизель,КПП автомат,70000,белый,Машина в идеале) С Кореи) Самая полна...
200,ВАЗ (Lada) 2110,ВАЗ,(Lada) 2110,2012,1800000,Б/у,седан,1.6,бензин,КПП механика,189600,серый,"металлик, тонировка, спойлер, хрустальн..."
201,ВАЗ (Lada) Priora 2171,ВАЗ,(Lada) Priora 2171,2013,2300000,Б/у,универсал,1.6,бензин,КПП механика,220000,белый,"металлик, хрустальная оптика, дневн..."
202,Toyota Camry,Toyota,Camry,2019,15500000,Б/у,седан,2.5,бензин,КПП автомат,45000,белый,"металлик, литые диски, тонировка, ветрови..."
204,Lexus LX 570,Lexus,LX 570,2013,28000000,Б/у,внедорожник,5.7,бензин,КПП автомат,102000,белый,"литые диски, тонировка, люк, спойл..."
206,Lexus ES 350,Lexus,ES 350,2020,25500000,Б/у,седан,3.5,бензин,КПП автомат,68000,белый,"металлик, F sport, диллерская. Матричная..."
209,BMW X5 M,BMW,X5 M,2022,44500000,Б/у,кроссовер,4.4,бензин,КПП автомат,58800,синий,BMW X5 M50i SUV Luxury Edition Продае...
210,Geely SC7,Geely,SC7,2013,2200000,Б/у,седан,1.8,бензин,КПП механика,150000,серебристый,"металлик, литые диски, тонировка,..."
211,Chevrolet Nexia,Chevrolet,Nexia,2020,4999999,Б/у,седан,1.5,бензин,КПП автомат,65000,белый,"литые диски, ветровики, хрустальная оптик..."
213,Toyota Camry,Toyota,Camry,2021,17000000,Б/у,седан,2.5,бензин,КПП автомат,40500,белый,"тонировка, биксенон, линзованная оптика,..."
214,Volkswagen Golf,Volkswagen,Golf,1994,1400000,Б/у,хэтчбек,1.6,бензин,КПП механика,137000,бордовый,"металлик, велюр, Авто без вложения..."
215,ВАЗ (Lada) 21099,ВАЗ,(Lada) 21099,2000,800000,Б/у,седан,1.5,бензин,КПП механика,300000,голубой,"металлик, тонировка, аудиосистема, bl..."
217,Toyota Highlander,Toyota,Highlander,2011,13000000,Б/у,кроссовер,3.5,бензин,КПП автомат,180000,серебристый,"металлик, кожа"
219,Mercedes-Benz S 320,Mercedes-Benz,S 320,1998,3700000,Б/у,седан,3.2,бензин,КПП автомат,290000,синий,"металлик, литые диски, тонировка, люк, в..."
221,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2013,3000000,Б/у,седан,1.6,бензин,КПП автомат,200000,черный,"ксенон, велюр, аудиосистема, bluetooth,..."
224,Hyundai Accent,Hyundai,Accent,2020,5600000,Б/у,седан,1.6,бензин,КПП механика,92445,белый,"металлик, тонировка, хрустальная оптика,..."
225,ГАЗ ГАЗель,ГАЗ,ГАЗель,2005,3300000,Б/у,пикап,2.9,газ-бензин,КПП механика,100000,белый,"комбинированный, bluetooth, MP3, Пр..."
229,Toyota Camry,Toyota,Camry,2014,8500000,Б/у,седан,2.5,бензин,КПП автомат,273360,белый,"металлик, тонировка, хрустальная оптика,..."
230,Nissan Patrol,Nissan,Patrol,2023,50000000,Б/у,внедорожник,5.6,бензин,КПП автомат,30000,белый,"литые диски, тонировка, люк, фаркоп..."
232,Lexus GX 460,Lexus,GX 460,2017,25100000,Б/у,внедорожник,4.6,бензин,КПП автомат,168000,серебристый,"литые диски, тонировка, люк,..."
233,Lexus LX 470,Lexus,LX 470,2000,7400000,Б/у,внедорожник,4.7,бензин,КПП автомат,274000,белый,"тонировка, люк, спойлер, ксенон, х..."
238,Toyota Camry,Toyota,Camry,2014,8700000,Б/у,седан,2.5,бензин,КПП автомат,182000,белый,"металлик, велюр, кожа, дерево, алькантар..."
240,Subaru Forester,Subaru,Forester,2018,10500000,Б/у,кроссовер,2.5,бензин,КПП вариатор,165000,черный,"металлик, литые диски, тонировка,..."
243,Renault Arkana,Renault,Arkana,2019,8000000,Б/у,кроссовер,1.3,бензин,КПП вариатор,110000,коричневый,"металлик, литые диски, тониров..."
244,Kia Mohave,Kia,Mohave,2012,8300000,Б/у,внедорожник,3.8,бензин,КПП автомат,254000,белый,"литые диски, тонировка, рейлинги,..."
248,ВАЗ (Lada) Vesta Cross,ВАЗ,(Lada) Vesta Cross,2022,6800000,Б/у,универсал,1.8,бензин,КПП механика,100000,хамелеон,"тонировка, ветровики, хрустальна..."
250,Toyota Camry,Toyota,Camry,2023,12400000,Б/у,седан,2.5,бензин,КПП робот,16300,коричневый,"литые диски, аудиосистема, bluetooth,..."
251,FAW V80,FAW,V80,2018,3999999,Б/у,фургон,1.5,бензин,КПП механика,131000,белый,"тонировка, велюр, bluetooth, ГУР, ABS,..."
253,Hyundai Santa Fe,Hyundai,Santa Fe,2014,11500000,Б/у,кроссовер,2.4,бензин,КПП автомат,150,коричневый,"металлик, литые диски, тонировка, в..."
258,Audi 100,Audi,100,1994,2800000,Б/у,универсал,2.8,бензин,КПП автомат,300000,металлик,"дневные ходовые огни, противотума..."
259,Lexus LX 470,Lexus,LX 470,1998,11000000,Б/у,внедорожник,4.7,бензин,КПП автомат,230000,металлик,Отл состояние вложения нет
261,ВАЗ (Lada) 2115,ВАЗ,(Lada) 2115,2011,1450000,Б/у,седан,1.6,бензин,КПП механика,187987,серебристый,"тонировка, спойлер, багажник, фар..."
262,Hyundai Santa Fe,Hyundai,Santa Fe,2024,24500000,Б/у,внедорожник,2.5,бензин,КПП автомат,11500,черный,"металлик, литые диски, тонировка,..."
265,ВАЗ (Lada) 2112,ВАЗ,(Lada) 2112,2006,550000,Б/у,хэтчбек,1.6,бензин,КПП механика,300000,синий,Продам двенашку временный учёт (еще 4...
266,Toyota Camry,Toyota,Camry,2020,10000000,Б/у,седан,2.5,бензин,КПП автомат,120077,черный,"металлик, литые диски, тонировка, спойл..."
281,Hyundai Elantra,Hyundai,Elantra,2023,9200000,Б/у,седан,1.6,бензин,КПП автомат,60000,белый,"комбинированный, климат-контроль, Читайте..."
282,Toyota Camry,Toyota,Camry,2010,6700000,Б/у,седан,2.5,бензин,КПП автомат,206000,белый,"литые диски, велюр, аудиосистема, blueto..."
283,Mercedes-Benz S 320,Mercedes-Benz,S 320,1995,2800000,Б/у,седан,3.2,бензин,КПП автомат,400000,белый,"литые диски, аудиосистема, USB, ГУР, сиг..."
287,ВАЗ (Lada) 2115,ВАЗ,(Lada) 2115,2008,1300000,Б/у,седан,1.5,бензин,КПП механика,320000,серый,"металлик, Машина жағдайы жаксы сыртында..."
288,ВАЗ (Lada) 2113,ВАЗ,(Lada) 2113,2013,1600000,Б/у,хэтчбек,1.6,бензин,КПП механика,240000,черный,"металлик, литые диски, тонировка, об..."
289,Mitsubishi Galant,Mitsubishi,Galant,2008,2800000,Б/у,седан,2.4,газ-бензин,КПП автомат,268000,бежевый,"металлик, литые диски, тонировка,..."
290,Hyundai Elantra,Hyundai,Elantra,2020,7900000,Б/у,седан,1.6,бензин,КПП автомат,154000,велюр,"климат-контроль, Машина в отличном техни..."
291,ВАЗ (Lada) 2115,ВАЗ,(Lada) 2115,2012,1550000,Б/у,седан,1.5,бензин,КПП механика,250000,черный,"литые диски, тонировка, дневные ходовы..."
293,Audi 100,Audi,100,1993,3000000,Б/у,седан,2.6,бензин,КПП механика,226000,вишня,"металлик, литые диски, хрустальная опти..."
296,Chery Tiggo 8 Pro,Chery,Tiggo 8 Pro,2021,7900000,Б/у,кроссовер,1.6,бензин,КПП робот,64000,Дилерский центр «Chery Astana»,по адресу Тура...
301,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2014,2000000,Б/у,седан,1.6,бензин,КПП механика,300000,белый,"кондиционер, Вложение по кузову, Гбо с..."
302,Volkswagen Vento,Volkswagen,Vento,1995,1300000,Б/у,седан,1.8,бензин,КПП механика,193580,красный,"обвес, фаркоп, биксенон, дневные ходо..."
304,Toyota Sienna,Toyota,Sienna,2019,12000000,Б/у,минивэн,3.5,бензин,КПП автомат,99000,черный,"литые диски, тонировка, люк, панорамна..."
306,Lexus RX 350,Lexus,RX 350,2006,8750000,Б/у,кроссовер,3.5,бензин,КПП автомат,207000,литые диски,"тонировка, люк, спойлер, ветро..."
307,Toyota Land Cruiser,Toyota,Land Cruiser,2022,60000000,Б/у,внедорожник,3.5,бензин,КПП автомат,2900,черный,"металлик, Комплектация Premium 70 A..."
310,Toyota Camry,Toyota,Camry,2018,14200000,Б/у,седан,2.5,бензин,КПП автомат,130000,белый,"тонировка, кожа, климат-контроль, Отличн..."
316,Mercedes-Benz GL 500,Mercedes-Benz,GL 500,2009,12200000,Б/у,внедорожник,5.5,бензин,КПП автомат,180000,белый,"металлик, литые диски, тонировка,..."
318,Toyota Highlander,Toyota,Highlander,2021,26000000,Б/у,кроссовер,3.5,бензин,КПП автомат,48270,бордовый,"литые диски, тонировка, люк, кенгу..."
319,Mercedes-Benz E 280,Mercedes-Benz,E 280,1992,3500000,Б/у,седан,2.8,бензин,КПП автомат,280000,металлик,"тонировка, люк, спойлер, обвес, багаж..."
320,Hyundai Avante,Hyundai,Avante,2007,3000000,Б/у,седан,1.6,бензин,КПП механика,300000,серебристый,"металлик, литые диски, тонировка,..."
321,Audi A4,Audi,A4,2001,3300000,Б/у,седан,1.8,бензин,КПП механика,300000,синий,"металлик, литые диски, тонировка, ветро..."
323,ВАЗ (Lada) Priora 2171,ВАЗ,(Lada) Priora 2171,2013,2200000,Б/у,универсал,1.6,бензин,КПП механика,167000,серебристый,"MP3, сабвуфер, ГУР, ABS, SRS,..."
324,ГАЗ ГАЗель,ГАЗ,ГАЗель,1994,1700000,Б/у,пикап,2.4,бензин,КПП механика,135852,белый,"велюр, Обмен есть"
326,Cadillac Escalade,Cadillac,Escalade,2019,33900000,Б/у,внедорожник,6.2,бензин,КПП автомат,114343,белый,"металлик, литые диски, ветровики,..."
327,Changan CS55 Plus,Changan,CS55 Plus,2023,11500000,Б/у,кроссовер,1.5,бензин,КПП робот,36000,серый,"металлик, литые диски, тонировка, люк,..."
328,Volkswagen Passat,Volkswagen,Passat,2011,6100000,Б/у,седан,1.8,бензин,КПП робот,195000,черный,"металлик, литые диски, тонировка, ветрови..."
329,УАЗ Patriot,УАЗ,Patriot,2018,6599000,Б/у,внедорожник,2.7,бензин,КПП механика,90000,серый,"металлик, литые диски, тонировка,..."
331,Toyota Veloz,Toyota,Veloz,2023,11900000,Б/у,минивэн,1.5,бензин,КПП вариатор,16000,белый,"металлик, литые диски, кожа, климат-ко..."
333,Toyota Land Cruiser,Toyota,Land Cruiser,2007,17200000,Б/у,внедорожник,4.7,бензин,КПП автомат,245000,черный,"металлик, литые диски, тонировка,..."
334,ВАЗ (Lada) Largus Cross,ВАЗ,(Lada) Largus Cross,2021,5500000,Б/у,универсал,1.6,бензин,КПП механика,180000,серый,"литые диски, корректор фар, велюр,..."
336,Audi A6,Audi,A6,2008,5500000,Б/у,седан,2.4,бензин,КПП автомат,250000,серебристый,"металлик, биксенон, кожа, климат-к..."
338,Nissan Teana,Nissan,Teana,2006,3250000,Б/у,седан,2.3,бензин,КПП автомат,188000,белый,"металлик, литые диски, ксенон, биксенон,..."
339,Volkswagen Polo,Volkswagen,Polo,2013,4900000,Б/у,седан,1.6,бензин,КПП автомат,220000,черный,"металлик, тонировка, противотуманки, ко..."
344,Kia Cee'd,Kia,Cee'd,2024,10500000,Б/у,универсал,1.6,бензин,КПП автомат,22000,белый,"металлик, литые диски, тонировка, вет..."
347,Li L7,Li,L7,2023,22000000,Б/у,кроссовер,1.5,гибрид,КПП автомат,20000,серый,"литые диски, тонировка, панорамная кр..."
349,Hyundai Getz,Hyundai,Getz,2008,2100000,Б/у,хэтчбек,1.1,бензин,КПП механика,312000,серебристый,"металлик, комбинированный, MP3,..."
350,Hyundai Accent,Hyundai,Accent,2013,4800000,Б/у,седан,1.4,бензин,КПП автомат,237000,белый,"литые диски, тонировка, ветровики, ксено..."
353,Kia Sportage,Kia,Sportage,2023,18000000,Б/у,кроссовер,2.5,бензин,КПП автомат,22000,кожа,"климат-контроль, Полная комплектация О..."
